q1	v14879	\N	15	There is no spaghetti... !!!!!
q2	v9847	\N	7	That's right. Girls aren't just breasts.
q3	v18807	\N	0	There's currently a definite warm atmosphere enveloping this house. However, that may have something to do with the stewing hot-pot.
q4	v7849	\N	3	Don't think about that right now, goddammit! If she needs legs, we'll lend her ours!
q5	v370	\N	5	Today I'm going no-pantsu.
q6	v710	\N	5	Foreigners often said that even when Japanese had reached adulthood, they still looked like children.
q7	v2123	\N	0	Women are monsters.
q8	v20330	c55333	15	What kind of accident causes you to continue touching both our breasts at the same time for exactly sixty-seven seconds?
q9	v17	\N	0	I'm not like everyone else. Don't act like I'm your friend, alright?
q10	v93	\N	10	It's very simple. These manju were born in the hot spring. They occur naturally, and were discovered when the hot spring was excavated.
q11	v903	\N	6	No? But you're always grumpy? Oh, are you on your period?
q12	v88	\N	1	We're weird, huh? You, me, and everyone else.
q13	v8935	\N	7	Fuck you! Kill the Jap!!
q14	v5883	\N	5	People get kinder the more they sweat!
q15	v31659	\N	11	YOU USED TO LOVE PANTS!
q16	v29300	\N	14	Her Holy Grail has returned to her uterus.
q17	v23281	\N	-1	...Shuu? Is that tr- Oh. It's true, huh? You're sweating bullets.
q18	v1060	\N	9	You know, this girl's never been with a man before, but she's a pervert who does nothing but masturbate every day.
q19	v279	\N	5	Sensei... do you have a joystick in your pants when you sleep?
q20	v16208	\N	10	So this is the "D-Don't misunderstand me, alright?!" behavior of the 'tsundere' in its natural habitat.
q21	v710	\N	4	The truth is, I'm a magical girl who came from Alpha Centauri to fight the forces of evil.
q22	v5871	\N	2	Just use your imagination. With such a romantic landscape around you, think up an embarrassing poem and say it to me.
q23	v6355	\N	2	From the scroll of Secret Royal Titjobs.
q24	v2375	\N	7	Why do you assume I'm living with a woman? I'm living with a ninja.
q25	v2153	\N	17	........You should stop being a witch and become a voice actress.
q26	v2153	\N	21	Thinking is not only a job for the characters within the tale. ......As a Reader, you too have the right to enjoy thinking.
q27	v4806	c783	11	It might be sudden, but please allow us to hospitalize you as well.
q28	v1143	\N	8	Okay! Manage me by meat stick, Yamato!
q29	v11	\N	48	Tohsaka is in a good mood, I think because she saw me getting beat around a lot.
q30	v22230	c66156	20	I still haven't forgotten the last time you tried to sweet-talk me like this. I ended up having to molest Shikibe-senpai's naked body in the girl's bath.
q31	v12402	\N	25	Please, do not let go of my hand.
q32	v617	\N	8	Good, good, just as I planned. We creatures known as 'men' are meant to be paired with cute girls.
q33	v264	\N	13	You call me 'oniichan', but we're in love. That kind of thing normally only happens in erotic games.
q34	v6245	c9782	6	If you abuse machines, they will rebel one day. And you'll be targeted, Stacy Connor. Be careful.
q35	v16208	\N	9	...The way I'm feeling right now, I could definitely murder you quite passionately if I went back in time this very instant.
q36	v9124	\N	4	Alright, then I'm a groper!
q37	v210	\N	8	The more concealed knives a man has, the stronger he is.
q38	v13912	\N	5	Until today I'd always assassinated people who called me flat, but now I understand there was no need for me to do something so silly!
q39	v38	\N	9	... Women are terrifying.
q40	v211	\N	1	Money's the only way to gain trust.
q41	v22505	\N	15	This is the delusion you wished for.
q42	v9093	\N	12	I will kill you until you die.
q43	v1155	\N	7	Wait, why? Don't tell me...... You enjoy making snappy remarks at the Library Committee? Is S not just your size, but your personality as well?
q44	v487	\N	16	Let me explain. This purple dildo is a dildo!
q45	v9887	\N	16	Manipulating elementary schoolgirls is like taking candy from a baby!
q46	v82	\N	7	When it comes to me, I've given up on giving up. I've already reached enlightenment!
q47	v16221	\N	6	.....Taste my tentacles! ... Over nine thousand pastries! ... Paperwork!.....
q48	v648	\N	2	I feel like I just had a dream. But, I forgot what the dream was about.
q49	v238	\N	1	What had until now been bands of light were changing into tentacles dripping with slime.
q50	v13	\N	22	A skeptic must also doubt skepticism itself.
q51	v19397	\N	9	I'll fall in love with you and you'll fall in love with me. Let's make that happen.
q52	v1143	\N	15	I'll give you some words of wisdom. Women will fall for you if you fuck them.
q53	v3161	\N	7	She puts on a serious look and starts speaking with passion. To her, semen is serious business.
q54	v3139	\N	9	Diet!? You are an android so you won't get fat no matter how much you eat.
q55	v1377	\N	9	We're just adding "theft" to the list of "intrusion" and "damage to property." So long as we don't kill anyone, it'll be the same whatever we do.
q56	v19655	\N	7	Fine then! I accept your challenge. I'll show you the table manners I learned in my imaginary French restaurant. I fix my imaginary neck tie.
q57	v1377	\N	10	You know what they say. "Laughter is a lubricant for the soul."
q58	v5	c1864	17	So because it's so fraught with danger that even the Earth might be destroyed, we should abstain from cleaning.
q59	v12246	\N	9	I'm a virgin. Nice to meet you.
q60	v711	\N	10	Lies always beget more lies! See through one, and their whole story falls apart!
q61	v14265	\N	9	Ironing your shirt... is a dream of mine...
q62	v264	\N	0	It's not a TV antenna!
q63	v1023	\N	8	The world isn't so simple that gunning down your opponent will earn you a happy ending.
q64	v26414	c85057	10	Apparently he knows how to do accounting and stuff, despite being a cat.
q65	v23908	\N	9	Quit saying how little confidence you have with such confidence!
q66	v751	\N	12	...pleased to meet you. Try not to talk to me.
q67	v7402	\N	11	All of your choices are meaningless
q68	v12849	\N	22	Senpai... I hate to break it to you, but boobs don't talk.
q69	v1388	\N	6	So the truth isn't really that painful, no. It just happens to be a bitch.
q70	v7184	\N	4	If A=B and B=C, then A would have to be equal to C till the ends of time, no buts about it.
q71	v3161	\N	6	Since when was sex an act of deepening trust? I think she watches too many spy movies.
q72	v945	\N	57	People always say 'come on, it'll be fun' about things that are never, ever fun.
q73	v68	\N	6	How many times a year does your school have its anniversary?
q74	v3276	\N	4	If I am a bratwurst... will you be my bun?
q75	v156	\N	-3	Really...! I, I wasn't looking at your breasts....
q76	v17018	\N	11	Whenever people read books, they stop thinking and become defenseless.
q77	v15708	\N	12	You wanna try rubbing an onion against your eyes?
q78	v12759	\N	1	Eternity is nowhere to be found in the world
q79	v648	\N	8	She's fine. She won't die even if she gets killed.
q80	v5154	\N	1	Sachi, my friend, feel free to flip out.
q81	v7	\N	80	If you don't listen to me, I'll rape you right here.
q82	v17287	\N	7	...I've never spent such a long time with one woman before.
q83	v7723	\N	11	Good, now you're drunk! No problem now! Go ahead and have sex!
q84	v57	\N	6	Oh, I just had some free time, so I thought I'd drop by and see if Sachi-san would be interested in a little sexual intercourse.
q85	v3161	\N	5	As usual, Marisa persists in her life-calling, that is, abusing people.
q86	v3031	\N	6	I-it's not a lunch box. Um... that's right! It's a sewing kit!
q87	v98	\N	17	Children are the future, so please do not report this to the police, the court house, the health care centre or any related offices!
q88	v6572	\N	11	The birth of a new magical girl! It's soooo less messy than regular birth...!
q89	v21289	\N	5	One ton per sheep? Just how many month's worth of shit is that?
q90	v922	\N	1	I-I'm cute even when I cry.
q91	v7382	\N	9	It's said that love is the most powerful force in the universe. I am attempting to harness that power to create weapons of mass destruction.
q92	v13046	\N	9	It's sure to be recording when there's a "dabaa" moment, an "unyaa" moment - and there's no way I'd miss a classic "mufufu" moment.
q93	v9124	c6967	9	What does having black tea as your special move even mean?
q94	v31064	\N	9	Oh yeah. She got hit by a bus.
q95	v5871	\N	7	I'm a proud siscon!
q96	v648	\N	4	I'm talking about the traits of a main character! Or are you a girl?
q97	v16743	c35280	12	To ensure safe sexual practice, Lucy wanted to let master know that an age verification is required before any further physical intimacy is allowed...
q98	v15708	\N	4	Chief, what's the problem with a ghost or two... more importantly, let's get to drinking already.
q99	v1388	\N	8	Hey, I boil the pasta, that counts as cooking.
q100	v12849	c22771	31	She's starting out with a bow to my dick.
q101	v10608	\N	12	I also think it's normal to get possessive around aggressive polyamorous sperm pirates.
q102	v264	\N	11	This is my second bedroom -- I mean, my classroom.
q103	v16044	\N	4	Having something you love but being forced to only ever look at it without even being able to touch it sounds like torture.
q104	v7721	\N	6	A gust of wind at the worst time could be all it takes to end someone's life.
q105	v3249	\N	3	Ah, useless. It's all useless.
q106	v914	\N	17	Have you ever cried at night, thinking about boobs that wither away without being seen by people?
q107	v18498	c40663	0	...For an idiot, you're pretty smart, ain't ya?
q108	v812	\N	1	Master... am I doing well as your dog?
q109	v7794	\N	8	You'd never know until you got stabbed... just how their hands holding the knife tremble.
q110	v1392	\N	7	What's the meaning of seeing panties in one's last moments...am I going to Heaven or Hell?
q111	v28576	\N	9	You should've died at least twice, and that's a low estimate.
q112	v238	\N	2	Arawn-sama......hurt me more....... 
q113	v19073	c49563	16	First I pulled out a legendary sword, then I met a ghost girl, then I got engaged, and now I met a ninja.
q114	v46744	\N	4	Why are you embarassed by your own sister's words? Being a siscon is a crime, you know?
